Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield,N,P,K,ph,YEAR_x,humidity,YEAR_y,rainfall_nasa,temperature
Coconut ,1997,Whole Year ,Assam,19656.0,126905000,2051.4,1870661.52,6093.36,5238.051739,21.98,16.93,30.59,5.97656212619,,,,,
Jute,1997,Kharif     ,Assam,94520.0,904095,2051.4,8995468.4,29301.2,9.919565217,78.4,46.86,39.99,6.7327775681699995,,,,,
Maize,1997,Kharif     ,Assam,19216.0,14721,2051.4,1828786.72,5956.96,0.615652174,77.76,48.44,19.79,6.2451897224,,,,,
Rice,1997,Autumn     ,Assam,607358.0,398311,2051.4,57802260.86,188280.98,0.780869565,79.89,47.58,39.87,6.425470922140001,,,,,
Rice,1997,Summer     ,Assam,174974.0,209623,2051.4,16652275.58,54241.94,1.060434783,79.89,47.58,39.87,6.425470922140001,,,,,
Rice,1997,Winter     ,Assam,1743321.0,1647296,2051.4,165911859.6,540429.51,0.941304348,79.89,47.58,39.87,6.425470922140001,,,,,
Maize,1997,Kharif     ,Karnataka,502797.0,1391132,1266.7,47851190.49,155867.07,2.687777778,77.76,48.44,19.79,6.2451897224,,,,,
Maize,1997,Rabi       ,Karnataka,48844.0,98932,1266.7,4648483.48,15141.64,1.98,77.76,48.44,19.79,6.2451897224,,,,,
Maize,1997,Summer     ,Karnataka,9730.0,20893,1266.7,926004.1,3016.3,2.165714286,77.76,48.44,19.79,6.2451897224,,,,,
Rice,1997,Kharif     ,Karnataka,1031530.0,2340493,1266.7,98170710.1,319774.3,2.2335,79.89,47.58,39.87,6.425470922140001,,,,,
Rice,1997,Rabi       ,Karnataka,53889.0,109350,1266.7,5128616.13,16705.59,2.073846154,79.89,47.58,39.87,6.425470922140001,,,,,
Rice,1997,Summer     ,Karnataka,268044.0,762759,1266.7,25509747.48,83093.64,2.829444444,79.89,47.58,39.87,6.425470922140001,,,,,
Coconut ,1997,Whole Year ,Kerala,884344.0,5210000000,3252.4,84163018.48,274146.64,5376.054286,21.98,16.93,30.59,5.97656212619,,,,,
Banana,1997,Whole Year ,Meghalaya,5239.0,63011,3818.2,498595.63,1624.09,11.20714286,100.23,82.01,50.05,5.98389318024,,,,,
Jute,1997,Kharif     ,Meghalaya,4243.0,34683,3818.2,403806.31,1315.33,8.436666667,78.4,46.86,39.99,6.7327775681699995,,,,,
Maize,1997,Kharif     ,Meghalaya,17175.0,24878,3818.2,1634544.75,5324.25,1.444285714,77.76,48.44,19.79,6.2451897224,,,,,
Rice,1997,Kharif     ,Meghalaya,105170.0,150101,3818.2,10009028.9,32602.7,1.378571429,79.89,47.58,39.87,6.425470922140001,,,,,
Coconut ,1997,Whole Year ,West Bengal,24273.0,306202300,1852.9,2310061.41,7524.63,13003.78778,21.98,16.93,30.59,5.97656212619,,,,,
Jute,1997,Kharif     ,West Bengal,641574.0,7549700,1852.9,61058597.58,198887.94,13.44588235,78.4,46.86,39.99,6.7327775681699995,,,,,
Maize,1997,Whole Year ,West Bengal,35469.0,130390,1852.9,3375584.73,10995.39,2.658461538,77.76,48.44,19.79,6.2451897224,,,,,
Rice,1997,Autumn     ,West Bengal,423121.0,751970,1852.9,40268425.57,131167.51,1.837222222,79.89,47.58,39.87,6.425470922140001,,,,,
Rice,1997,Summer     ,West Bengal,1206829.0,3569520,1852.9,114853915.9,374116.99,2.843888889,79.89,47.58,39.87,6.425470922140001,,,,,
Rice,1997,Winter     ,West Bengal,4270328.0,8915100,1852.9,406407115.8,1323801.68,1.985555556,79.89,47.58,39.87,6.425470922140001,,,,,
Rice,1998,Kharif     ,Puducherry,4945.0,11518,1434.5875,488566.0,1434.05,2.46,79.89,47.58,39.87,6.425470922140001,,,,,
Rice,1998,Rabi       ,Puducherry,13961.0,30220,1434.5875,1379346.8,4048.69,2.555,79.89,47.58,39.87,6.425470922140001,,,,,
Rice,1998,Summer     ,Puducherry,5716.0,14863,1434.5875,564740.8,1657.64,2.55,79.89,47.58,39.87,6.425470922140001,,,,,
Banana,1998,Whole Year ,Assam,41885.0,581884,2354.4,4138238.0,12146.65,13.78826087,100.23,82.01,50.05,5.98389318024,,,,,
Coconut ,1998,Whole Year ,Assam,20166.0,149866000,2354.4,1992400.8,5848.14,6045.886957,21.98,16.93,30.59,5.97656212619,,,,,
Jute,1998,Kharif     ,Assam,78702.0,687173,2354.4,7775757.6,22823.58,9.040869565,78.4,46.86,39.99,6.7327775681699995,,,,,
Maize,1998,Kharif     ,Assam,19810.0,13965,2354.4,1957228.0,5744.9,0.608695652,77.76,48.44,19.79,6.2451897224,,,,,
Rice,1998,Autumn     ,Assam,594979.0,520605,2354.4,58783925.2,172543.91,1.055652174,79.89,47.58,39.87,6.425470922140001,,,,,
Rice,1998,Summer     ,Assam,223913.0,446114,2354.4,22122604.4,64934.77,1.685217391,79.89,47.58,39.87,6.425470922140001,,,,,
Rice,1998,Winter     ,Assam,1635230.0,2288114,2354.4,161560724.0,474216.7,1.395652174,79.89,47.58,39.87,6.425470922140001,,,,,
Banana,1998,Whole Year ,Goa,1900.0,14400,2964.9,187720.0,551.0,7.58,100.23,82.01,50.05,5.98389318024,,,,,
Coconut ,1998,Whole Year ,Goa,24858.0,121000000,2964.9,2455970.4,7208.82,4867.65,21.98,16.93,30.59,5.97656212619,,,,,
Rice,1998,Kharif     ,Goa,41000.0,104249,2964.9,4050800.0,11890.0,2.54,79.89,47.58,39.87,6.425470922140001,,,,,
Rice,1998,Rabi       ,Goa,15439.0,46925,2964.9,1525373.2,4477.31,3.04,79.89,47.58,39.87,6.425470922140001,,,,,
Coconut ,1998,Whole Year ,Karnataka,310399.0,1611530000,1260.8,30667421.2,90015.71,4692.261111,21.98,16.93,30.59,5.97656212619,,,,,
Maize,1998,Kharif     ,Karnataka,450472.0,1542607,1260.8,44506633.6,130636.88,3.366,77.76,48.44,19.79,6.2451897224,,,,,
Maize,1998,Rabi       ,Karnataka,49922.0,101605,1260.8,4932293.6,14477.38,1.97952381,77.76,48.44,19.79,6.2451897224,,,,,
Maize,1998,Summer     ,Karnataka,11974.0,27080,1260.8,1183031.2,3472.46,2.241904762,77.76,48.44,19.79,6.2451897224,,,,,
Rice,1998,Kharif     ,Karnataka,1079193.0,2599170,1260.8,106624268.4,312965.97,2.310740741,79.89,47.58,39.87,6.425470922140001,,,,,
Rice,1998,Rabi       ,Karnataka,51782.0,106072,1260.8,5116061.6,15016.78,2.054285714,79.89,47.58,39.87,6.425470922140001,,,,,
Rice,1998,Summer     ,Karnataka,295830.0,951569,1260.8,29228004.0,85790.7,2.99375,79.89,47.58,39.87,6.425470922140001,,,,,
Banana,1998,Whole Year ,Kerala,30521.0,386588,3151.5,3015474.8,8851.09,12.85714286,100.23,82.01,50.05,5.98389318024,,,,,
